"Wilshire 5000 (Full Cap) Total Market",""
"Index Dates","Period Return","Index Values"
"20011009","-0.50","32.0341472"
"20011010","2.34","32.7852210"
"20011011","1.73","33.3526639"
"20011012","-0.59","33.1552082"
"20011015","-0.09","33.1262025"
"20011016","0.77","33.3822297"
"20011017","-1.99","32.7193204"
"20011018","-0.75","32.4737529"
"20011019","0.54","32.6494779"
"20011022","1.49","33.1355538"
"20011023","-0.47","32.9807249"
"20011024","0.06","33.0006972"
"20011025","1.42","33.4696775"
"20011026","0.42","33.6097267"
"20011029","-2.30","32.8365098"
"20011030","-1.72","32.2713778"
"20011031","0.20","32.3355197"
"20011101","2.09","33.0117173"
"20011102","0.17","33.0662181"
"20011105","1.40","33.5302698"
"20011106","1.45","34.0165252"
"20011107","-0.21","33.9439723"
"20011108","0.11","33.9821959"
"20011109","0.07","34.0056460"
"20011112","-0.07","33.9814724"
"20011113","1.85","34.6099636"
"20011114","0.33","34.7239536"
"20011115","0.01","34.7267348"
"20011116","-0.23","34.6470131"
"20011119","1.15","35.0445531"
"20011120","-0.78","34.7694827"
"20011121","-0.46","34.6100203"
"20011123","1.16","35.0132269"
"20011126","0.70","35.2590422"
"20011127","-0.53","35.0718613"
"20011128","-1.74","34.4600197"
"20011129","1.14","34.8524712"
"20011130","-0.13","34.8084262"
"20011203","-0.83","34.5188930"
"20011204","1.45","35.0179423"
"20011205","2.29","35.8210218"
"20011206","-0.11","35.7815527"
"20011207","-0.71","35.5280004"
"20011210","-1.51","34.9931932"
"20011211","-0.18","34.9310937"
"20011212","0.03","34.9419705"
"20011213","-1.48","34.4244667"
"20011214","0.33","34.5392878"
"20011217","1.02","34.8915911"
"20011218","0.83","35.1799196"
"20011219","0.43","35.3314744"
"20011220","-0.92","35.0075762"
"20011221","0.59","35.2127997"
"20011224","0.04","35.2262977"
"20011226","0.52","35.4077397"
"20011227","0.70","35.6540400"
"20011228","0.41","35.8008331"
"20011231","-1.02","35.4339349"
"20020102","0.42","35.5813785"
"20020103","0.99","35.9320352"
"20020104","0.70","36.1824155"
"20020107","-0.68","35.9370601"
"20020108","-0.23","35.8561729"
"20020109","-0.45","35.6959548"
"20020110","0.08","35.7245634"
"20020111","-0.85","35.4195280"
"20020114","-0.81","35.1327515"
"20020115","0.68","35.3704854"
"20020116","-1.58","34.8129173"
"20020117","1.02","35.1696055"
"20020118","-1.06","34.7978767"
"20020122","-0.80","34.5190513"
"20020123","0.93","34.8406870"
"20020124","0.42","34.9862847"
"20020125","0.10","35.0211239"
"20020128","0.05","35.0398353"
"20020129","-2.49","34.1674704"
"20020130","1.06","34.5288253"
"20020131","1.35","34.9939353"
"20020201","-0.70","34.7473345"
"20020204","-2.33","33.9363959"
"20020205","-0.34","33.8214968"
"20020206","-0.75","33.5671304"
"20020207","-0.40","33.4337490"
"20020208","1.58","33.9610334"
"20020211","1.34","34.4153150"
"20020212","-0.30","34.3126207"
"20020213","0.99","34.6537772"
"20020214","-0.23","34.5730378"
"20020215","-1.09","34.1968302"
"20020219","-1.90","33.5466081"
"20020220","1.32","33.9906700"
"20020221","-1.49","33.4842397"
"20020222","0.79","33.7497886"
"20020225","1.65","34.3050050"
"20020226","0.12","34.3474491"
"20020227","0.08","34.3737955"
"20020228","-0.29","34.2747338"
"20020301","2.20","35.0286041"
"20020304","1.97","35.7189654"
"20020305","-0.52","35.5345618"
"20020306","1.39","36.0287945"
"20020307","-0.41","35.8828230"
"20020308","0.70","36.1347825"
"20020311","0.29","36.2396290"
"20020312","-0.27","36.1435315"
"20020313","-0.89","35.8210514"
"20020314","-0.03","35.8099806"
"20020315","1.07","36.1921360"
"20020318","0.11","36.2304148"
"20020319","0.35","36.3554796"
"20020320","-1.48","35.8168696"
"20020321","0.30","35.9259915"
"20020322","-0.43","35.7712288"
"20020325","-1.42","35.2616011"
"20020326","0.61","35.4758363"
"20020327","0.57","35.6778603"
"20020328","0.27","35.7747495"
"20020401","-0.10","35.7400791"
"20020402","-0.89","35.4219970"
"20020403","-0.97","35.0778538"
"20020404","0.12","35.1212107"
"20020405","-0.24","35.0371250"
"20020408","0.37","35.1678769"
"20020409","-0.56","34.9717129"
"20020410","1.16","35.3777064"
"20020411","-2.16","34.6118180"
"20020412","0.83","34.8983630"
"20020415","-0.65","34.6722927"
"20020416","2.22","35.4415249"
"20020417","-0.25","35.3541429"
"20020418","-0.13","35.3081849"
"20020419","0.06","35.3300746"
"20020422","-1.47","34.8106686"
"20020423","-0.51","34.6324602"
"20020424","-0.62","34.4170409"
"20020425","-0.08","34.3893146"
"20020426","-1.37","33.9167057"
"20020429","-0.86","33.6250845"
"20020430","1.20","34.0280473"
"20020501","0.76","34.2875557"
"20020502","-0.18","34.2250715"
"20020503","-0.93","33.9062326"
"20020506","-1.82","33.2896870"
"20020507","-0.36","33.1692842"
"20020508","3.51","34.3333065"
"20020509","-1.42","33.8468916"
"20020510","-1.60","33.3043321"
"20020513","1.74","33.8838156"
"20020514","2.16","34.6158257"
"20020515","-0.39","34.4820672"
"20020516","0.35","34.6013541"
"20020517","0.69","34.8393660"
"20020520","-1.27","34.3985376"
"20020521","-1.14","34.0059686"
"20020522","0.38","34.1337639"
"20020523","1.06","34.4938945"
"20020524","-1.14","34.0990860"
"20020528","-0.72","33.8547665"
"20020529","-0.64","33.6381536"
"20020530","-0.22","33.5628827"
"20020531","0.19","33.6278487"
"20020603","-2.39","32.8251663"
"20020604","-0.11","32.7903789"
"20020605","0.80","33.0542712"
"20020606","-1.87","32.4355818"
"20020607","0.09","32.4632855"
"20020610","0.20","32.5270511"
"20020611","-1.66","31.9873660"
"20020612","0.55","32.1624386"
"20020613","-1.07","31.8198533"
"20020614","-0.08","31.7957030"
"20020617","2.74","32.6662790"
"20020618","0.04","32.6798250"
"20020619","-1.59","32.1597242"
"20020620","-1.31","31.7382828"
"20020621","-1.48","31.2673142"
"20020624","0.18","31.3237510"
"20020625","-1.65","30.8071653"
"20020626","-0.27","30.7243873"
"20020627","1.64","31.2279599"
"20020628","0.12","31.2640103"
"20020701","-2.30","30.5464700"
"20020702","-2.24","29.8627796"
"20020703","0.41","29.9857960"
"20020705","3.50","31.0366643"
"20020708","-1.21","30.6605938"
"20020709","-2.30","29.9567775"
"20020710","-3.00","29.0568959"
"20020711","0.51","29.2039723"
"20020712","-0.55","29.0426070"
"20020715","-0.46","28.9083384"
"20020716","-1.45","28.4878240"
"20020717","0.60","28.6581554"
"20020718","-2.68","27.8911257"
"20020719","-3.37","26.9500543"
"20020722","-3.18","26.0917096"
"20020723","-2.86","25.3461062"
"20020724","5.36","26.7044871"
"20020725","-0.47","26.5797544"
"20020726","1.51","26.9802736"
"20020729","5.38","28.4320866"
"20020730","0.44","28.5571314"
"20020731","0.64","28.7401250"
"20020801","-2.66","27.9749478"
"20020802","-2.38","27.3093531"
"20020805","-3.30","26.4087081"
"20020806","3.00","27.1998764"
"20020807","1.79","27.6866722"
"20020808","3.01","28.5195284"
"20020809","0.31","28.6069303"
"20020812","-0.40","28.4920935"
"20020813","-2.12","27.8890362"
"20020814","3.70","28.9212210"
"20020815","1.18","29.2630568"
"20020816","0.08","29.2850540"
"20020819","2.12","29.9073455"
"20020820","-1.30","29.5191716"
"20020821","1.34","29.9161536"
"20020822","1.31","30.3084555"
"20020823","-2.19","29.6455627"
"20020826","0.84","29.8951727"
"20020827","-1.51","29.4433944"
"20020828","-1.75","28.9277157"
"20020829","0.19","28.9840343"
"20020830","-0.26","28.9091536"
"20020903","-3.89","27.7848470"
"20020904","1.80","28.2861600"
"20020905","-1.58","27.8389042"
"20020906","1.81","28.3433004"
"20020909","0.90","28.5977913"
"20020910","0.67","28.7894581"
"20020911","-0.03","28.7819995"
"20020912","-2.34","28.1096222"
"20020913","0.39","28.2204482"
"20020916","0.02","28.2248225"
"20020917","-1.88","27.6933738"
"20020918","-0.45","27.5680740"
"20020919","-2.91","26.7668271"
"20020920","0.23","26.8274799"
"20020923","-1.43","26.4434022"
"20020924","-1.54","26.0355120"
"20020925","2.40","26.6612976"
"20020926","1.76","27.1311976"
"20020927","-2.92","26.3389626"
"20020930","-1.26","26.0081216"
"20021001","3.49","26.9152653"
"20021002","-2.28","26.3016982"
"20021003","-1.09","26.0138216"
"20021004","-2.25","25.4287302"
"20021007","-2.03","24.9133863"
"20021008","1.48","25.2832998"
"20021009","-2.77","24.5830543"
"20021010","3.39","25.4170201"
"20021011","3.71","26.3607645"
"20021014","0.73","26.5529867"
"20021015","4.54","27.7586218"
"20021016","-2.40","27.0929713"
"20021017","2.37","27.7346450"
"20021018","0.50","27.8731145"
"20021021","1.63","28.3269323"
"20021022","-1.11","28.0115311"
"20021023","0.79","28.2314996"
"20021024","-1.40","27.8354836"
"20021025","1.67","28.2992390"
"20021028","-0.82","28.0661076"
"20021029","-0.86","27.8236387"
"20021030","1.03","28.1092104"
"20021031","-0.39","27.9990192"
"20021101","1.73","28.4847055"
"20021104","0.80","28.7123996"
"20021105","0.63","28.8944786"
"20021106","1.00","29.1845833"
"20021107","-2.19","28.5442019"
"20021108","-0.90","28.2865924"
"20021111","-2.06","27.7028471"
"20021112","0.84","27.9348337"
"20021113","0.00","27.9350308"
"20021114","2.43","28.6134411"
"20021115","0.62","28.7895320"
"20021118","-0.99","28.5054428"
"20021119","-0.48","28.3686044"
"20021120","1.91","28.9116822"
"20021121","2.13","29.5262730"
"20021122","-0.21","29.4630311"
"20021125","0.35","29.5661501"
"20021126","-2.00","28.9741358"
"20021127","2.75","29.7721333"
"20021129","-0.29","29.6861096"
"20021202","-0.06","29.6679176"
"20021203","-1.53","29.2149435"
"20021204","-0.37","29.1064618"
"20021205","-1.07","28.7945122"
"20021206","0.60","28.9672369"
"20021209","-2.21","28.3269001"
"20021210","1.41","28.7263972"
"20021211","0.09","28.7516009"
"20021212","-0.24","28.6831824"
"20021213","-1.35","28.2953389"
"20021216","2.20","28.9186267"
"20021217","-0.78","28.6945069"
"20021218","-1.32","28.3165268"
"20021219","-0.68","28.1233791"
"20021220","1.23","28.4693962"
"20021223","0.23","28.5360572"
"20021224","-0.50","28.3919599"
"20021226","-0.19","28.3378044"
"20021227","-1.50","27.9116507"
"20021230","0.34","28.0072185"
"20021231","0.13","28.0425057"
"20030102","3.10","28.9120875"
"20030103","-0.09","28.8851557"
"20030106","2.08","29.4868717"
"20030107","-0.67","29.2901922"
"20030108","-1.34","28.8988700"
"20030109","1.86","29.4375139"
"20030110","0.03","29.4458058"
"20030113","-0.14","29.4041853"
"20030114","0.54","29.5639739"
"20030115","-1.27","29.1872178"
"20030116","-0.33","29.0901271"
"20030117","-1.39","28.6844813"
"20030121","-1.52","28.2481657"
"20030122","-0.93","27.9867340"
"20030123","1.01","28.2685772"
"20030124","-2.73","27.4954907"
"20030127","-1.64","27.0456549"
"20030128","1.25","27.3839595"
"20030129","0.65","27.5628305"
"20030130","-2.09","26.9862965"
"20030131","1.30","27.3359034"
"20030203","0.37","27.4364109"
"20030204","-1.29","27.0826890"
"20030205","-0.47","26.9549423"
"20030206","-0.62","26.7872910"
"20030207","-1.06","26.5024951"
"20030210","0.71","26.6908598"
"20030211","-0.70","26.5037315"
"20030212","-1.25","26.1736684"
"20030213","-0.25","26.1081216"
"20030214","1.87","26.5964127"
"20030218","1.97","27.1195410"
"20030219","-0.68","26.9353805"
"20030220","-0.80","26.7207257"
"20030221","1.32","27.0727095"
"20030224","-1.75","26.5981575"
"20030225","0.69","26.7813621"
"20030226","-1.18","26.4643553"
"20030227","1.12","26.7617671"
"20030228","0.42","26.8730621"
"20030303","-0.65","26.6971748"
"20030304","-1.43","26.3153688"
"20030305","0.78","26.5193919"
"20030306","-0.83","26.3003598"
"20030307","0.74","26.4955521"
"20030310","-2.35","25.8721962"
"20030311","-0.80","25.6644597"
"20030312","0.31","25.7437734"
"20030313","3.35","26.6066823"
"20030314","0.13","26.6403782"
"20030317","3.38","27.5413226"
"20030318","0.46","27.6674412"
"20030319","0.71","27.8651923"
"20030320","0.32","27.9541727"
"20030321","2.16","28.5573578"
"20030324","-3.34","27.6030161"
"20030325","1.21","27.9368017"
"20030326","-0.56","27.7813296"
"20030327","-0.09","27.7567756"
"20030328","-0.46","27.6280288"
"20030331","-1.63","27.1767956"
"20030401","1.13","27.4830336"
"20030402","2.55","28.1840425"
"20030403","-0.48","28.0489216"
"20030404","0.14","28.0878595"
"20030407","0.20","28.1446491"
"20030408","-0.24","28.0757329"
"20030409","-1.24","27.7278936"
"20030410","0.54","27.8774465"
"20030411","-0.32","27.7889326"
"20030414","1.87","28.3086864"
"20030415","0.61","28.4826474"
"20030416","-1.09","28.1725532"
"20030417","1.52","28.6004513"
"20030421","-0.08","28.5767978"
"20030422","2.05","29.1626942"
"20030423","0.85","29.4108416"
"20030424","-0.80","29.1752098"
"20030425","-1.28","28.8012989"
"20030428","1.73","29.2983242"
"20030429","0.34","29.3971645"
"20030430","0.03","29.4052286"
"20030501","-0.03","29.3977946"
"20030502","1.56","29.8567769"
"20030505","-0.18","29.8017234"
"20030506","0.81","30.0434900"
"20030507","-0.44","29.9112182"
"20030508","-0.96","29.6247208"
"20030509","1.39","30.0351743"
"20030512","1.25","30.4102451"
"20030513","-0.21","30.3451491"
"20030514","-0.22","30.2775478"
"20030515","0.74","30.5006545"
"20030516","-0.28","30.4140414"
"20030519","-2.30","29.7142359"
"20030520","-0.11","29.6808573"
"20030521","0.43","29.8085326"
"20030522","0.94","30.0891170"
"20030523","0.26","30.1684502"
"20030527","1.92","30.7463199"
"20030528","0.20","30.8077970"
"20030529","-0.27","30.7232003"
"20030530","1.55","31.2009315"
"20030602","0.39","31.3241135"
"20030603","0.38","31.4429627"
"20030604","1.55","31.9294346"
"20030605","0.53","32.0981085"
"20030606","-0.29","32.0042577"
"20030609","-1.30","31.5896602"
"20030610","0.95","31.8903751"
"20030611","1.30","32.3042281"
"20030612","0.16","32.3556279"
"20030613","-1.03","32.0231116"
"20030616","2.11","32.6999500"
"20030617","0.09","32.7292770"
"20030618","-0.16","32.6768782"
"20030619","-1.46","32.2010125"
"20030620","0.07","32.2225382"
"20030623","-1.49","31.7421532"
"20030624","0.19","31.8029200"
"20030625","-0.58","31.6176735"
"20030626","1.13","31.9737581"
"20030627","-0.81","31.7158346"
"20030630","-0.17","31.6616100"
"20030701","0.74","31.8949081"
"20030702","1.29","32.3053259"
"20030703","-0.71","32.0754957"
"20030707","1.88","32.6778827"
"20030708","0.52","32.8468296"
"20030709","-0.35","32.7328664"
"20030710","-1.34","32.2932629"
"20030711","0.93","32.5931792"
"20030714","0.68","32.8159075"
"20030715","-0.37","32.6957499"
"20030716","-0.63","32.4886784"
"20030717","-1.42","32.0279462"
"20030718","1.09","32.3786149"
"20030721","-1.39","31.9273030"
"20030722","0.96","32.2323399"
"20030723","0.13","32.2738716"
"20030724","-0.61","32.0778258"
"20030725","1.50","32.5589727"
"20030728","-0.03","32.5489945"
"20030729","-0.55","32.3699274"
"20030730","-0.14","32.3257197"
"20030731","0.31","32.4251550"
"20030801","-1.05","32.0832463"
"20030804","0.11","32.1178651"
"20030805","-1.67","31.5828726"
"20030806","0.03","31.5922767"
"20030807","0.59","31.7798334"
"20030808","0.33","31.8833037"
"20030811","0.43","32.0198454"
"20030812","1.05","32.3567941"
"20030813","-0.48","32.2010398"
"20030814","0.63","32.4037266"
"20030815","0.08","32.4310310"
"20030818","1.01","32.7575052"
"20030819","0.42","32.8940108"
"20030820","-0.12","32.8556591"
"20030821","0.46","33.0063283"
"20030822","-1.06","32.6574525"
"20030825","-0.25","32.5767973"
"20030826","0.50","32.7411464"
"20030827","0.17","32.7963815"
"20030828","0.71","33.0301845"
"20030829","0.53","33.2041885"
"20030902","1.38","33.6632202"
"20030903","0.45","33.8132428"
"20030904","0.20","33.8822877"
"20030905","-0.60","33.6774198"
"20030908","1.05","34.0326937"
"20030909","-0.77","33.7689767"
"20030910","-1.38","33.3017095"
"20030911","0.63","33.5103386"
"20030912","0.25","33.5930776"
"20030915","-0.35","33.4771641"
"20030916","1.38","33.9402730"
"20030917","-0.27","33.8486324"
"20030918","1.25","34.2722513"
"20030919","-0.22","34.1975913"
"20030922","-1.26","33.7683183"
"20030923","0.66","33.9919126"
"20030924","-1.86","33.3602499"
"20030925","-0.81","33.0893912"
"20030926","-0.80","32.8242657"
"20030929","1.00","33.1537848"
"20030930","-0.96","32.8364215"
"20031001","2.18","33.5537100"
"20031002","0.29","33.6518847"
"20031003","1.04","34.0022700"
"20031006","0.50","34.1724376"
"20031007","0.51","34.3455522"
"20031008","-0.49","34.1783876"
"20031009","0.54","34.3634682"
"20031010","-0.07","34.3404557"
"20031013","0.82","34.6211414"
"20031014","0.43","34.7688659"
"20031015","-0.34","34.6511669"
"20031016","0.36","34.7745705"
"20031017","-1.10","34.3916801"
"20031020","0.42","34.5344304"
"20031021","0.24","34.6179529"
"20031022","-1.54","34.0844902"
"20031023","0.22","34.1595120"
"20031024","-0.45","34.0041407"
"20031027","0.44","34.1530480"
"20031028","1.54","34.6778207"
"20031029","0.28","34.7736841"
"20031030","-0.09","34.7414022"
"20031031","0.29","34.8417286"
"20031103","0.91","35.1582906"
"20031104","-0.44","35.0029591"
"20031105","-0.06","34.9803262"
"20031106","0.61","35.1919741"
"20031107","-0.32","35.0804040"
"20031110","-0.72","34.8273657"
"20031111","-0.20","34.7579189"
"20031112","1.33","35.2213633"
"20031113","0.03","35.2320610"
"20031114","-0.81","34.9463948"
"20031117","-0.70","34.7004432"
"20031118","-0.88","34.3959027"
"20031119","0.73","34.6480836"
"20031120","-0.77","34.3825285"
"20031121","0.21","34.4557954"
"20031124","1.71","35.0456961"
"20031125","0.30","35.1492230"
"20031126","0.44","35.3037459"
"20031128","0.07","35.3296829"
"20031201","1.15","35.7369395"
"20031202","-0.28","35.6371157"
"20031203","-0.35","35.5113374"
"20031204","0.29","35.6142354"
"20031205","-0.76","35.3438345"
"20031208","0.71","35.5934651"
"20031209","-0.94","35.2575207"
"20031210","-0.28","35.1574704"
"20031211","1.32","35.6227144"
"20031212","0.33","35.7389119"
"20031215","-0.75","35.4695827"
"20031216","0.54","35.6619932"
"20031217","0.15","35.7138646"
"20031218","1.23","36.1537361"
"20031219","-0.03","36.1429115"
"20031222","0.38","36.2802013"
"20031223","0.36","36.4090187"
"20031224","-0.17","36.3466252"
"20031226","0.20","36.4175248"
"20031229","1.28","36.8854156"
"20031230","0.07","36.9129749"
"20031231","0.01","36.9153462"
"20040102","-0.19","36.8434541"
"20040105","1.19","37.2828436"
"20040106","0.18","37.3485800"
"20040107","0.31","37.4657376"
"20040108","0.48","37.6467045"
"20040109","-0.73","37.3714427"
"20040112","0.55","37.5782749"
"20040113","-0.48","37.3975776"
"20040114","0.80","37.6968382"
"20040115","0.13","37.7446907"
"20040116","0.72","38.0157250"
"20040120","0.14","38.0686252"
"20040121","0.65","38.3147756"
"20040122","-0.34","38.1859536"
"20040123","-0.07","38.1589499"
"20040126","1.12","38.5865354"
"20040127","-0.92","38.2298076"
"20040128","-1.42","37.6871708"
"20040129","0.28","37.7939334"
"20040130","-0.15","37.7376896"
"20040202","0.29","37.8469348"
"20040203","0.00","37.8453376"
"20040204","-0.99","37.4716152"
"20040205","0.23","37.5566760"
"20040206","1.42","38.0901785"
"20040209","-0.10","38.0529717"
"20040210","0.58","38.2749884"
"20040211","1.03","38.6709847"
"20040212","-0.47","38.4879750"
"20040213","-0.57","38.2681824"
"20040217","0.99","38.6454063"
"20040218","-0.40","38.4896816"
"20040219","-0.53","38.2846544"
"20040220","-0.30","38.1709575"
"20040223","-0.48","37.9885330"
"20040224","-0.13","37.9388096"
"20040225","0.54","38.1426597"
"20040226","0.28","38.2497371"
"20040227","0.10","38.2868067"
"20040301","1.05","38.6876938"
"20040302","-0.57","38.4687500"
"20040303","0.14","38.5215702"
"20040304","0.45","38.6939121"
"20040305","0.23","38.7835809"
"20040308","-0.82","38.4646305"
"20040309","-0.65","38.2146847"
"20040310","-1.50","37.6424159"
"20040311","-1.41","37.1111506"
"20040312","1.36","37.6147143"
"20040315","-1.54","37.0342605"
"20040316","0.42","37.1916408"
"20040317","1.27","37.6625907"
"20040318","-0.18","37.5936285"
"20040319","-0.98","37.2247451"
"20040322","-1.39","36.7084006"
"20040323","-0.08","36.6778262"
"20040324","-0.29","36.5723830"
"20040325","1.69","37.1910769"
"20040326","-0.02","37.1819070"
"20040329","1.33","37.6774998"
"20040330","0.50","37.8658171"
"20040331","0.03","37.8766905"
"20040401","0.62","38.1110906"
"20040402","0.86","38.4393154"
"20040405","0.69","38.7052777"
"20040406","-0.33","38.5774377"
"20040407","-0.48","38.3916919"
"20040408","-0.17","38.3260826"
"20040412","0.42","38.4873189"
"20040413","-1.48","37.9167751"
"20040414","-0.21","37.8388026"
"20040415","0.01","37.8425976"
"20040416","0.49","38.0284854"
"20040419","0.22","38.1105418"
"20040420","-1.54","37.5239876"
"20040421","0.58","37.7434984"
"20040422","1.46","38.2949225"
"20040423","-0.04","38.2811370"
"20040426","-0.36","38.1414938"
"20040427","0.18","38.2089201"
"20040428","-1.44","37.6587843"
"20040429","-0.89","37.3230600"
"20040430","-0.67","37.0712655"
"20040503","0.90","37.4032590"
"20040504","0.22","37.4850850"
"20040505","0.23","37.5730830"
"20040506","-0.78","37.2803960"
"20040507","-1.53","36.7114010"
"20040510","-1.28","36.2416240"
"20040511","0.96","36.5892150"
"20040512","0.12","36.6331060"
"20040513","-0.06","36.6112410"
"20040514","-0.14","36.5596540"
"20040517","-1.09","36.1605740"
"20040518","0.77","36.4380830"
"20040519","-0.22","36.3570510"
"20040520","0.06","36.3773250"
"20040521","0.44","36.5365510"
"20040524","0.33","36.6560520"
"20040525","1.68","37.2730590"
"20040526","0.29","37.3807550"
"20040527","0.51","37.5695880"
"20040528","0.03","37.5825280"
"20040601","0.13","37.6300070"
"20040602","0.32","37.7522930"
"20040603","-0.89","37.4165090"
"20040604","0.57","37.6286010"
"20040607","1.59","38.2274280"
"20040608","0.09","38.2618770"
"20040609","-1.01","37.8766990"
"20040610","0.36","38.0145160"
"20040614","-1.06","37.6112290"
"20040615","0.73","37.8873410"
"20040616","0.17","37.9516770"
"20040617","-0.11","37.9100540"
"20040618","0.20","37.9852900"
"20040621","-0.39","37.8366180"
"20040622","0.38","37.9794490"
"20040623","0.91","38.3250240"
"20040624","-0.24","38.2341520"
"20040625","-0.28","38.1289040"
"20040628","-0.14","38.0741860"
"20040629","0.26","38.1745970"
"20040630","0.50","38.3654440"
"20040701","-1.02","37.9744220"
"20040702","-0.24","37.8838280"
"20040706","-0.92","37.5344350"
"20040707","0.19","37.6039050"
"20040708","-0.96","37.2412830"
"20040709","0.32","37.3616710"
"20040712","0.06","37.3843960"
"20040713","0.06","37.4060080"
"20040714","-0.30","37.2929210"
"20040715","-0.27","37.1929990"
"20040716","-0.55","36.9891270"
"20040719","-0.08","36.9609340"
"20040720","0.82","37.2647820"
"20040721","-1.49","36.7090490"
"20040722","0.12","36.7525010"
"20040723","-1.03","36.3750510"
"20040726","-0.40","36.2294590"
"20040727","1.10","36.6276760"
"20040728","-0.06","36.6071660"
"20040729","0.65","36.8463280"
"20040730","0.15","36.9016290"
"20040802","0.40","37.0496230"
"20040803","-0.71","36.7848000"
"20040804","-0.19","36.7158640"
"20040805","-1.63","36.1189350"
"20040806","-1.57","35.5536400"
"20040809","0.04","35.5684640"
"20040810","1.37","36.0552190"
"20040811","-0.30","35.9486580"
"20040812","-1.18","35.5237190"
"20040813","0.12","35.5658450"
"20040816","1.41","36.0689000"
"20040817","0.30","36.1785210"
"20040818","1.34","36.6626070"
"20040819","-0.40","36.5175740"
"20040820","0.83","36.8214160"
"20040823","-0.31","36.7087050"
"20040824","0.06","36.7317430"
"20040825","0.81","37.0282890"
"20040826","-0.02","37.0216210"
"20040827","0.32","37.1408330"
"20040830","-0.82","36.8370570"
"20040831","0.50","37.0217720"
"20040901","0.30","37.1341920"
"20040902","1.09","37.5373650"
"20040903","-0.41","37.3838000"
"20040907","0.74","37.6591690"
"20040908","-0.47","37.4819620"
"20040909","0.30","37.5959340"
"20040910","0.52","37.7930870"
"20040913","0.29","37.9012700"
"20040914","0.15","37.9599650"
"20040915","-0.63","37.7207350"
"20040916","0.40","37.8728210"
"20040917","0.34","38.0013730"
"20040920","-0.51","37.8058990"
"20040921","0.67","38.0593740"
"20040922","-1.35","37.5466240"
"20040923","-0.36","37.4120710"
"20040924","0.16","37.4722480"
"20040927","-0.68","37.2183390"
"20040928","0.66","37.4630780"
"20040929","0.49","37.6481290"
"20040930","0.09","37.6817680"
"20041001","1.50","38.2469410"
"20041004","0.38","38.3928070"
"20041005","-0.09","38.3582880"
"20041006","0.70","38.6264110"
"20041007","-1.04","38.2258950"
"20041008","-0.75","37.9377550"
"20041011","0.20","38.0119050"
"20041012","-0.21","37.9324960"
"20041013","-0.74","37.6529770"
"20041014","-0.85","37.3329800"
"20041015","0.47","37.5070610"
"20041018","0.52","37.7015630"
"20041019","-0.90","37.3623010"
"20041020","0.11","37.4022840"
"20041021","0.41","37.5570380"
"20041022","-0.96","37.1977990"
"20041025","0.00","37.1977070"
"20041026","1.36","37.7022560"
"20041027","1.32","38.2001900"
"20041028","0.15","38.2568160"
"20041029","0.18","38.3254420"
"20041101","0.09","38.3607840"
"20041102","-0.03","38.3475150"
"20041103","1.19","38.8028730"
"20041104","1.49","39.3814700"
"20041105","0.34","39.5150840"
"20041108","-0.12","39.4691960"
"20041109","0.05","39.4894910"
"20041110","0.03","39.5020080"
"20041111","0.92","39.8671930"
"20041112","0.92","40.2355550"
"20041115","0.05","40.2570170"
"20041116","-0.68","39.9841710"
"20041117","0.58","40.2154000"
"20041118","0.07","40.2426670"
"20041119","-1.10","39.8000990"
"20041122","0.62","40.0458110"
"20041123","0.10","40.0874460"
"20041124","0.51","40.2917110"
"20041126","0.13","40.3458830"
"20041129","-0.21","40.2621760"
"20041130","-0.35","40.1196380"
"20041201","1.47","40.7093960"
"20041202","-0.09","40.6707750"
"20041203","0.09","40.7088530"
"20041206","-0.11","40.6638220"
"20041207","-1.19","40.1796780"
"20041208","0.49","40.3784690"
"20041209","0.47","40.5685040"
"20041210","0.01","40.5706030"
"20041213","0.85","40.9163890"
"20041214","0.47","41.1072940"
"20041215","0.33","41.2420340"
"20041216","-0.30","41.1188470"
"20041217","-0.54","40.8976900"
"20041220","-0.09","40.8625700"
"20041221","0.93","41.2405790"
"20041222","0.40","41.4035740"
"20041223","0.08","41.4346980"
"20041227","-0.44","41.2526120"
"20041228","0.84","41.6004630"
"20041229","0.02","41.6105990"
"20041230","0.05","41.6333780"
"20041231","-0.14","41.5755300"
"20050103","-0.97","41.1732740"
"20050104","-1.30","40.6397660"
"20050105","-0.57","40.4067600"
"20050106","0.37","40.5544980"
"20050107","-0.21","40.4709100"
"20050110","0.41","40.6379990"
"20050111","-0.67","40.3650720"
"20050112","0.36","40.5088150"
"20050113","-0.71","40.2221060"
"20050114","0.67","40.4918800"
"20050118","0.98","40.8889250"
"20050119","-0.92","40.5121980"
"20050120","-0.76","40.2044520"
"20050121","-0.53","39.9901130"
"20050124","-0.50","39.7888320"
"20050125","0.30","39.9091780"
"20050126","0.64","40.1638350"
"20050127","0.07","40.1907420"
"20050128","-0.27","40.0817640"
"20050131","0.97","40.4688320"
"20050201","0.68","40.7436320"
"20050202","0.41","40.9101550"
"20050203","-0.25","40.8065600"
"20050204","1.11","41.2613740"
"20050207","-0.12","41.2101300"
"20050208","0.09","41.2459940"
"20050209","-0.95","40.8546780"
"20050210","0.37","41.0062370"
"20050211","0.77","41.3208100"
"20050214","0.10","41.3616630"
"20050215","0.30","41.4867640"
"20050216","0.12","41.5350260"
"20050217","-0.77","41.2149590"
"20050218","0.00","41.2163440"
