"Wilshire 5000 (Full Cap) Total Market",""
"Index Dates","Period Return","Index Values"
"19951006","0.03","17.4007300"
"19951009","-1.03","17.2216900"
"19951010","-0.23","17.1824600"
"19951011","0.63","17.2900400"
"19951012","0.80","17.4280000"
"19951013","0.35","17.4895500"
"19951016","-0.17","17.4599900"
"19951017","0.61","17.5666300"
"19951018","0.25","17.6097000"
"19951019","0.31","17.6637600"
"19951020","-0.55","17.5663400"
"19951023","-0.36","17.5037300"
"19951024","0.13","17.5266900"
"19951025","-0.83","17.3814000"
"19951026","-0.93","17.2200100"
"19951027","0.42","17.2925600"
"19951030","0.64","17.4035800"
"19951031","-0.18","17.3722100"
"19951101","0.45","17.4498700"
"19951102","1.05","17.6323900"
"19951103","0.32","17.6895200"
"19951106","-0.26","17.6428800"
"19951107","-0.46","17.5621900"
"19951108","0.74","17.6929900"
"19951109","0.46","17.7746600"
"19951110","-0.10","17.7573400"
"19951113","-0.13","17.7346300"
"19951114","-0.63","17.6236000"
"19951115","0.56","17.7229500"
"19951116","0.59","17.8273800"
"19951117","0.41","17.9007100"
"19951120","-0.56","17.8006900"
"19951121","0.24","17.8427300"
"19951122","-0.22","17.8043300"
"19951124","0.34","17.8644500"
"19951127","0.21","17.9016800"
"19951128","0.80","18.0441200"
"19951129","0.41","18.1188100"
"19951130","-0.06","18.1082900"
"19951201","0.20","18.1442500"
"19951204","1.05","18.3354200"
"19951205","0.46","18.4204500"
"19951206","0.22","18.4616100"
"19951207","-0.65","18.3416600"
"19951208","0.21","18.3808000"
"19951211","0.27","18.4299600"
"19951212","-0.23","18.3870900"
"19951213","0.45","18.4693300"
"19951214","-0.78","18.3252800"
"19951215","-0.27","18.2766100"
"19951218","-1.72","17.9631400"
"19951219","1.00","18.1427500"
"19951220","-0.53","18.0472200"
"19951221","0.71","18.1760600"
"19951222","0.34","18.2377200"
"19951226","0.32","18.2965700"
"19951227","0.17","18.3272000"
"19951228","-0.03","18.3209400"
"19951229","0.45","18.4042700"
"19960102","0.61","18.5163300"
"19960103","-0.06","18.5048300"
"19960104","-0.78","18.3600700"
"19960105","-0.13","18.3358300"
"19960108","0.24","18.3804300"
"19960109","-1.60","18.0867900"
"19960110","-1.58","17.8011300"
"19960111","0.86","17.9546100"
"19960112","-0.12","17.9338100"
"19960115","-0.55","17.8344000"
"19960116","1.04","18.0204200"
"19960117","-0.06","18.0094300"
"19960118","0.39","18.0790500"
"19960119","0.58","18.1848100"
"19960122","0.43","18.2625000"
"19960123","-0.02","18.2594100"
"19960124","1.05","18.4516400"
"19960125","-0.37","18.3839500"
"19960126","0.63","18.5005700"
"19960129","0.39","18.5732400"
"19960130","0.92","18.7439400"
"19960131","0.82","18.8972300"
"19960201","0.47","18.9854900"
"19960202","-0.27","18.9342600"
"19960205","0.75","19.0766900"
"19960206","0.70","19.2093200"
"19960207","0.37","19.2810600"
"19960208","0.81","19.4368800"
"19960209","0.11","19.4580100"
"19960212","0.56","19.5661300"
"19960213","-0.18","19.5302600"
"19960214","-0.42","19.4474900"
"19960215","-0.28","19.3925700"
"19960216","-0.37","19.3208900"
"19960220","-1.02","19.1234300"
"19960221","1.05","19.3244000"
"19960222","1.57","19.6271900"
"19960223","0.09","19.6443600"
"19960226","-1.01","19.4459800"
"19960227","-0.41","19.3660000"
"19960228","-0.16","19.3342300"
"19960229","-0.55","19.2276900"
"19960301","0.24","19.2742000"
"19960304","0.94","19.4548000"
"19960305","0.71","19.5922900"
"19960306","-0.35","19.5244600"
"19960307","0.19","19.5612900"
"19960308","-2.88","18.9981900"
"19960311","0.94","19.1758300"
"19960312","-0.48","19.0841300"
"19960313","0.45","19.1698400"
"19960314","0.42","19.2496300"
"19960315","0.18","19.2840900"
"19960318","1.48","19.5703100"
"19960319","-0.12","19.5473800"
"19960320","-0.27","19.4953000"
"19960321","-0.08","19.4803300"
"19960322","0.22","19.5240600"
"19960325","-0.28","19.4688600"
"19960326","0.31","19.5291100"
"19960327","-0.31","19.4680000"
"19960328","0.05","19.4778100"
"19960329","-0.20","19.4379500"
"19960401","1.08","19.6478500"
"19960402","0.22","19.6909000"
"19960403","0.15","19.7206300"
"19960404","0.05","19.7306400"
"19960408","-1.65","19.4046500"
"19960409","-0.11","19.3841000"
"19960410","-1.15","19.1602800"
"19960411","-0.52","19.0606100"
"19960412","0.85","19.2216800"
"19960415","0.84","19.3827000"
"19960416","0.51","19.4821900"
"19960417","-0.47","19.3912100"
"19960418","0.48","19.4833800"
"19960419","0.24","19.5297700"
"19960422","0.59","19.6454900"
"19960423","0.61","19.7648300"
"19960424","0.01","19.7676100"
"19960425","0.46","19.8583800"
"19960426","0.17","19.8919900"
"19960429","0.09","19.9107700"
"19960430","0.04","19.9182700"
"19960501","0.25","19.9688800"
"19960502","-1.57","19.6552000"
"19960503","-0.09","19.6373600"
"19960506","-0.14","19.6092200"
"19960507","-0.39","19.5325600"
"19960508","0.61","19.6524000"
"19960509","0.28","19.7071200"
"19960510","1.09","19.9210600"
"19960513","1.32","20.1840800"
"19960514","0.71","20.3266700"
"19960515","-0.01","20.3250600"
"19960516","0.07","20.3399200"
"19960517","0.54","20.4504600"
"19960520","0.59","20.5704500"
"19960521","-0.05","20.5605000"
"19960522","0.63","20.6901500"
"19960523","-0.24","20.6411400"
"19960524","0.25","20.6929800"
"19960528","-0.87","20.5133700"
"19960529","-0.64","20.3815600"
"19960530","0.54","20.4915700"
"19960531","-0.14","20.4627900"
"19960603","-0.26","20.4092900"
"19960604","0.71","20.5538900"
"19960605","0.74","20.7055900"
"19960606","-0.74","20.5521200"
"19960607","-0.19","20.5127000"
"19960610","-0.08","20.4960000"
"19960611","-0.10","20.4756400"
"19960612","-0.06","20.4629600"
"19960613","-0.26","20.4107400"
"19960614","-0.43","20.3237700"
"19960617","-0.19","20.2841700"
"19960618","-0.74","20.1339700"
"19960619","-0.10","20.1136700"
"19960620","-0.30","20.0537200"
"19960621","0.59","20.1712300"
"19960624","0.35","20.2412000"
"19960625","-0.23","20.1949300"
"19960626","-0.78","20.0370700"
"19960627","0.61","20.1589800"
"19960628","0.67","20.2944900"
"19960701","0.82","20.4618700"
"19960702","-0.26","20.4087300"
"19960703","-0.32","20.3428700"
"19960705","-2.02","19.9326400"
"19960708","-0.83","19.7675200"
"19960709","0.35","19.8358500"
"19960710","-0.18","19.8011000"
"19960711","-1.83","19.4384600"
"19960712","-0.02","19.4338300"
"19960715","-2.59","18.9295400"
"19960716","-0.50","18.8339700"
"19960717","1.38","19.0946300"
"19960718","1.59","19.3989900"
"19960719","-0.77","19.2497300"
"19960722","-0.90","19.0770400"
"19960723","-1.40","18.8102700"
"19960724","-0.23","18.7678900"
"19960725","0.92","18.9399000"
"19960726","0.91","19.1120100"
"19960729","-0.77","18.9653800"
"19960730","0.50","19.0606900"
"19960731","0.73","19.1995800"
"19960801","1.59","19.5050800"
"19960802","1.86","19.8672000"
"19960805","-0.27","19.8126800"
"19960806","0.34","19.8795100"
"19960807","0.40","19.9595900"
"19960808","-0.15","19.9299000"
"19960809","-0.26","19.8778100"
"19960812","0.56","19.9889800"
"19960813","-0.77","19.8349900"
"19960814","0.40","19.9144800"
"19960815","0.09","19.9326100"
"19960816","0.43","20.0180200"
"19960819","0.10","20.0370500"
"19960820","-0.13","20.0110000"
"19960821","-0.09","19.9935000"
"19960822","0.87","20.1676800"
"19960823","-0.35","20.0979500"
"19960826","-0.34","20.0291800"
"19960827","0.43","20.1143500"
"19960828","0.02","20.1188700"
"19960829","-0.92","19.9330200"
"19960830","-0.60","19.8137700"
"19960903","0.16","19.8458500"
"19960904","0.17","19.8798200"
"19960905","-0.97","19.6875900"
"19960906","1.01","19.8856200"
"19960909","0.98","20.0814000"
"19960910","0.06","20.0938600"
"19960911","0.44","20.1831000"
"19960912","0.64","20.3120600"
"19960913","1.30","20.5763800"
"19960916","0.50","20.6794200"
"19960917","-0.12","20.6541500"
"19960918","-0.16","20.6201400"
"19960919","0.21","20.6625500"
"19960920","0.52","20.7697500"
"19960923","-0.18","20.7318500"
"19960924","0.00","20.7326700"
"19960925","0.17","20.7684200"
"19960926","0.21","20.8112900"
"19960927","0.08","20.8281800"
"19960930","0.19","20.8686000"
"19961001","0.07","20.8830600"
"19961002","0.75","21.0401200"
"19961003","-0.15","21.0092000"
"19961004","1.10","21.2404600"
"19961007","0.19","21.2812600"
"19961008","-0.43","21.1896700"
"19961009","-0.49","21.0857000"
"19961010","-0.21","21.0412300"
"19961011","0.75","21.1999000"
"19961014","0.45","21.2950100"
"19961015","-0.15","21.2636600"
"19961016","0.12","21.2882100"
"19961017","0.27","21.3450500"
"19961018","0.36","21.4225200"
"19961021","-0.25","21.3696800"
"19961022","-0.65","21.2306500"
"19961023","-0.01","21.2284700"
"19961024","-0.44","21.1355900"
"19961025","-0.19","21.0949600"
"19961028","-0.57","20.9750300"
"19961029","0.26","21.0303300"
"19961030","-0.01","21.0281900"
"19961031","0.63","21.1604300"
"19961101","-0.13","21.1338300"
"19961104","0.30","21.1962500"
"19961105","0.87","21.3811500"
"19961106","1.40","21.6800400"
"19961107","0.42","21.7721400"
"19961108","0.35","21.8494100"
"19961111","0.19","21.8900400"
"19961112","-0.21","21.8446100"
"19961113","0.20","21.8888100"
"19961114","0.59","22.0186100"
"19961115","0.09","22.0379700"
"19961118","-0.14","22.0080100"
"19961119","0.56","22.1309300"
"19961120","0.21","22.1784100"
"19961121","-0.18","22.1374000"
"19961122","0.77","22.3070800"
"19961125","1.01","22.5324100"
"19961126","-0.18","22.4915600"
"19961127","0.04","22.5002500"
"19961129","0.28","22.5623700"
"19961202","0.09","22.5831300"
"19961203","-0.70","22.4252800"
"19961204","-0.32","22.3542000"
"19961205","-0.03","22.3475500"
"19961206","-0.73","22.1844600"
"19961209","1.38","22.4906300"
"19961210","-0.26","22.4326300"
"19961211","-0.89","22.2322900"
"19961212","-1.24","21.9559400"
"19961213","-0.27","21.8974900"
"19961216","-1.08","21.6619200"
"19961217","0.47","21.7646900"
"19961218","0.86","21.9517800"
"19961219","1.60","22.3027500"
"19961220","0.31","22.3723300"
"19961223","-0.34","22.2961200"
"19961224","0.49","22.4056600"
"19961226","0.60","22.5400000"
"19961227","0.19","22.5822200"
"19961230","-0.23","22.5303500"
"19961231","-0.99","22.3080400"
"19970102","-0.73","22.1448200"
"19970103","1.39","22.4526400"
"19970106","0.06","22.4652000"
"19970107","0.74","22.6304200"
"19970108","-0.41","22.5379900"
"19970109","0.75","22.7063400"
"19970110","0.52","22.8239000"
"19970113","-0.05","22.8123700"
"19970114","1.12","23.0671300"
"19970115","-0.20","23.0203100"
"19970116","0.29","23.0865300"
"19970117","0.73","23.2549000"
"19970120","0.29","23.3216700"
"19970121","0.59","23.4586800"
"19970122","0.46","23.5660600"
"19970123","-0.83","23.3695400"
"19970124","-0.94","23.1498600"
"19970127","-0.70","22.9887300"
"19970128","0.04","22.9972700"
"19970129","0.69","23.1554000"
"19970130","1.22","23.4386500"
"19970131","0.27","23.5022200"
"19970203","0.09","23.5242500"
"19970204","0.14","23.5575700"
"19970205","-1.24","23.2646000"
"19970206","0.24","23.3214800"
"19970207","0.97","23.5485400"
"19970210","-0.62","23.4021200"
"19970211","0.34","23.4819100"
"19970212","1.53","23.8401400"
"19970213","1.02","24.0834800"
"19970214","-0.20","24.0360600"
"19970218","0.73","24.2115700"
"19970219","-0.29","24.1418200"
"19970220","-1.14","23.8670500"
"19970221","-0.24","23.8103500"
"19970224","0.84","24.0105600"
"19970225","0.27","24.0755400"
"19970226","-0.71","23.9042600"
"19970227","-1.24","23.6089800"
"19970228","-0.50","23.4913800"
"19970303","0.44","23.5951600"
"19970304","-0.24","23.5375800"
"19970305","1.18","23.8153700"
"19970306","-0.28","23.7487900"
"19970307","0.68","23.9099100"
"19970310","0.87","24.1177200"
"19970311","-0.21","24.0673900"
"19970312","-0.78","23.8802700"
"19970313","-1.61","23.4968800"
"19970314","0.34","23.5776700"
"19970317","-0.09","23.5558600"
"19970318","-0.74","23.3823800"
"19970319","-0.60","23.2420500"
"19970320","-0.16","23.2049700"
"19970321","0.11","23.2303900"
"19970324","0.46","23.3382700"
"19970325","-0.04","23.3297500"
"19970326","0.26","23.3898400"
"19970327","-1.87","22.9527400"
"19970331","-2.18","22.4524300"
"19970401","0.13","22.4820400"
"19970402","-1.14","22.2254800"
"19970403","-0.03","22.2196900"
"19970404","1.13","22.4714100"
"19970407","0.79","22.6492100"
"19970408","0.45","22.7507200"
"19970409","-0.55","22.6255800"
"19970410","-0.40","22.5349800"
"19970411","-2.45","21.9828400"
"19970414","0.56","22.1061600"
"19970415","1.22","22.3753000"
"19970416","0.82","22.5589500"
"19970417","-0.11","22.5347700"
"19970418","0.43","22.6312100"
"19970421","-0.94","22.4175200"
"19970422","1.42","22.7351300"
"19970423","0.02","22.7394700"
"19970424","-0.22","22.6884100"
"19970425","-0.90","22.4838300"
"19970428","0.82","22.6678000"
"19970429","2.42","23.2153900"
